,bagni,locali,piano,prezzo(€),superficie
177,3+,5+,,€ 1.790.000,550
178,3+,5+,,€ 690.000,350
179,2,5,R,€ 660.000,148
180,3+,5+,,€ 4.700.000,624
181,3+,5+,,€ 820.000,450
182,1,2,3,€ 430.000,68
183,1,2,1,€ 79.000,58
184,1,2,4,€ 300.000,46
185,2,3,3,€ 500.000,89
186,2,4,5,€ 574.000,89
187,2,3,4,€ 425.000,72
188,1,3,3,€ 400.000,60
189,2,5,4,€ 669.000,86
190,3+,5+,A,€ 1.250.000,245
191,3,5+,,€ 640.000,240
192,2,5+,1,€ 539.000,180
193,2,3,R,€ 630.000,124
194,2,5,1,€ 890.000,150
195,2,4,2,€ 790.000,92
196,3,4,4,€ 1.065.000,280
197,3,5+,3,€ 1.650.000,165
198,1,3,T,€ 300.000,98
199,1,2,5,€ 240.000,70
200,2,4,1,€ 339.000,120
201,2,4,1,€ 410.000,125
202,3,5+,2,€ 2.100.000,270
203,3,5+,6,€ 1.500.000,314
204,2,4,R,€ 620.000,166
205,1,2,8,€ 230.000,75
206,2,4,1,€ 515.000,150
207,3+,5+,4,€ 775.000,160
208,1,5+,1,€ 710.000,170
209,1,5+,1,€ 790.000,160
210,3,5+,3,€ 780.000,165
211,3,5+,3,€ 820.000,260
212,1,4,,€ 215.000,164
213,1,3,6,€ 449.000,126
214,2,5,2,€ 440.000,160
215,1,3,5,€ 190.000,85
216,3,4,3,€ 139.000,100
217,3,4,2,€ 980.000,243
218,3,5+,5,€ 1.380.000,220
219,2,3,2,€ 325.000,110
220,1,2,4,€ 490.000,82
221,1,2,A,€ 320.000,68
222,2,3,5,€ 525.000,131
223,2,4,,€ 259.000,123
224,3,5+,3,€ 1.990.000,370
225,2,3,,€ 215.000,145
226,3,5+,3,€ 900.000,175
227,2,3,,€ 189.000,150
228,2,5,,€ 385.000,167
229,1,2,7,€ 148.000,49
230,2,4,,€ 269.000,122
231,1,1,T,€ 680.000,125
232,2,3,1,€ 175.000,122
233,2,5+,4,€ 830.000,168
234,2,3,1,€ 320.000,110
235,2,2,4,€ 560.000,60
236,2,5,1,€ 1.050.000,145
237,1,2,3,€ 125.000,70
238,1,2,1,€ 239.000,52
239,3,5,1,€ 855.000,182
240,1,2,3,€ 350.000,85
241,1,5,T,€ 320.000,135
242,2,5,3,€ 295.000,140
243,2,4,A,€ 720.000,185
244,2,5,4,€ 730.000,150
245,2,5,R,€ 630.000,147
246,2,4,1,€ 620.000,130
247,3,4,3,€ 139.000,100
248,3,4,4,€ 1.290.000,120
249,2,5,R,€ 690.000,150
250,2,5+,1,€ 490.000,140
251,2,4,2,€ 750.000,163
252,1,3,2,€ 415.000,75
253,2,5,4,€ 470.000,110
254,3,5+,3,€ 3.950.000,362
255,2,4,,€ 259.000,123
256,3,5+,,€ 1.190.000,400
257,2,4,,€ 199.000,185
