,bagni,locali,piano,prezzo(€),superficie
1825,3,5+,4,€ 697.000,208
1826,3,4,1,€ 340.000,180
1827,2,4,2,€ 165.000,90
1828,2,4,T,€ 192.000,90
1829,1,2,T,€ 125.000,86
1830,3,5+,1,€ 790.000,180
1831,2,3,A,€ 405.000,90
1832,3,5,1,€ 1.450.000,310
1833,2,4,7,€ 425.000,125
1834,1,5,1,€ 1.750.000,160
1835,3,5,1,€ 640.000,165
1836,1,2,4,€ 225.000,55
1837,1,3,1,€ 235.000,110
1838,2,3,T,€ 235.000,80
1839,1,2,1,€ 169.000,72
1840,2,3,6,€ 379.000,120
1841,3,5+,,€ 320.000,140
1842,1,2,1,€ 172.000,50
1843,2,3,,€ 237.000,100
1844,2,5+,3,€ 1.190.000,242
1845,3,5+,,€ 519.000,260
1846,2,2,2,€ 300.000,85
1847,1,3,R,€ 169.000,105
1848,1,3,3,€ 290.000,85
1849,1,1,5,€ 249.000,40
1850,2,3,3,€ 199.000,110
1851,1,3,2,€ 149.000,100
1852,1,2,3,€ 160.000,62
1853,2,5+,4,€ 620.000,180
1854,3,5+,A,,285
1855,2,3,,€ 259.000,85
1856,2,4,T,€ 485.000,148
1857,3+,5+,,€ 980.000,464
1858,1,4,1,€ 270.000,110
1859,1,3,2,€ 159.000,90
1860,2,5+,T,€ 790.000,200
1861,1,3,R,€ 250.000,94
1862,1,2,2,€ 210.000,50
1863,1,1,1,€ 118.000,30
1864,3,4,4,€ 499.000,135
1865,2,5+,2,€ 1.600.000,300
1866,1,4,T,€ 550.000,140
1867,2,4,2,€ 595.000,160
1868,2,4,2,€ 219.000,120
1869,3,5,2,€ 950.000,250
1870,1,3,3,€ 248.000,90
1871,1,2,1,€ 115.000,73
1872,1,2,T,€ 139.000,55
1873,1,3,2,€ 350.000,90
1874,1,2,3,€ 99.000,60
1875,3,5,1,€ 770.000,187
1876,1,2,2,€ 195.000,59
1877,1,2,3,€ 199.000,60
1878,1,3,T,€ 295.000,70
1879,2,4,3,€ 630.000,130
1880,1,2,2,€ 269.000,60
1881,1,3,6,€ 265.000,80
1882,1,3,7,€ 530.000,104
1883,3,5+,,€ 399.000,200
1884,2,5+,2,€ 489.000,158
1885,1,3,1,€ 149.000,65
1886,1,5,2,€ 299.000,115
1887,3,5,,€ 460.000,220
1888,3,3,,€ 420.000,130
1889,2,4,,€ 345.000,145
1890,1,3,1,€ 285.000,85
1891,1,2,5,€ 149.000,60
1892,1,4,2,€ 815.000,120
1893,1,3,T,€ 279.000,85
1894,2,3,1,€ 390.000,120
1895,1,3,1,€ 319.000,100
1896,2,3,1,€ 228.000,75
1897,3,4,2,€ 795.000,160
1898,1,3,5,€ 210.000,75
1899,2,5+,3,€ 690.000,165
1900,2,4,5,€ 529.000,145
1901,2,5+,A,€ 950.000,180
1902,2,4,1,€ 385.000,119
1903,1,2,T,€ 80.000,40
1904,2,5,2,€ 700.000,125
1905,2,5,3,€ 580.000,145
1906,1,2,T,€ 193.000,51
1907,1,2,T,€ 256.000,71
1908,2,4,1,€ 425.000,130
1909,2,5,1,€ 325.000,120
1910,2,4,2,€ 265.000,120
1911,1,3,T,€ 289.000,110
1912,2,3,R,€ 199.000,100
1913,2,5,5,€ 830.000,160
1914,3,5+,,€ 399.000,230
1915,3,5,7,€ 780.000,150
1916,2,3,,€ 455.000,100
1917,2,5,3,€ 580.000,150
1918,2,4,6,€ 290.000,129
1919,1,2,4,€ 390.000,65
1920,1,4,1,€ 489.000,100
1921,2,4,1,€ 399.000,130
1922,2,2,1,€ 225.000,50
1923,1,2,2,€ 300.000,72
1924,1,2,4,€ 175.000,43
1925,1,3,7,€ 630.000,106
1926,2,4,T,€ 520.000,100
1927,2,3,3,€ 289.000,82
1928,3,4,,€ 248.000,164
1929,1,4,A,€ 195.000,110
1930,2,3,4,€ 249.000,101
1931,3+,5+,,€ 345.000,206
1932,3+,5+,T,€ 790.000,300
1933,1,2,T,€ 165.000,60
1934,1,3,1,€ 295.000,76
1935,1,3,2,€ 259.000,98
1936,2,4,1,€ 630.000,110
1937,2,4,1,€ 370.000,111
1938,2,4,1,€ 235.000,95
1939,2,3,1,€ 319.000,75
1940,1,2,T,€ 144.000,40
1941,1,1,3,€ 139.000,39
1942,1,2,T,€ 115.000,20
1943,2,5,3,€ 545.000,165
1944,1,4,R,€ 289.000,90
1945,2,4,1,€ 1.450.000,176
1946,3,5+,A,€ 790.000,220
1947,2,4,5,€ 360.000,133
1948,1,3,1,€ 329.000,95
1949,3,5+,T,€ 900.000,191
1950,1,2,3,€ 335.000,70
1951,3,4,5,€ 599.000,162
1952,3,5+,,€ 280.000,170
1953,1,2,T,€ 290.000,40
1954,2,3,3,€ 255.000,110
1955,1,5,3,€ 890.000,153
1956,2,4,7,€ 428.000,120
1957,1,5,3,€ 449.000,107
1958,2,3,4,€ 319.000,85
1959,2,3,R,€ 319.000,102
1960,1,3,1,€ 239.000,75
1961,2,4,A,€ 435.000,145
1962,2,4,2,€ 470.000,130
1963,2,5+,2,€ 590.000,140
1964,2,4,1,€ 159.000,142
1965,1,3,5,€ 250.000,90
1966,2,3,4,€ 279.000,90
1967,1,3,2,€ 265.000,84
1968,1,3,3,€ 265.000,80
1969,2,5,3,€ 479.000,164
1970,3+,5+,2,€ 660.000,222
1971,1,3,1,€ 280.000,105
1972,1,4,2,€ 195.000,100
1973,1,2,5,€ 188.000,60
1974,2,5,T,€ 429.000,130
1975,3+,5+,T,€ 840.000,250
1976,2,4,1,€ 345.000,110
1977,1,2,T,€ 129.000,40
1978,1,3,2,€ 295.000,75
1979,1,2,2,€ 129.000,63
1980,1,3,T,€ 245.000,85
1981,2,4,1,€ 650.000,140
1982,3,5+,,€ 429.000,200
1983,1,2,1,€ 299.000,74
1984,3,5+,2,€ 845.000,223
1985,3,5+,A,€ 920.000,185
1986,1,4,1,€ 300.000,113
1987,2,4,2,€ 850.000,160
1988,2,3,2,€ 540.000,112
1989,3,4,3,€ 880.000,150
1990,1,3,3,€ 238.000,75
1991,3+,5+,1,€ 650.000,132
1992,1,2,A,€ 220.000,60
1993,2,4,T,€ 385.000,110
1994,2,3,2,€ 580.000,105
1995,2,4,1,€ 425.000,120
1996,2,3,R,€ 245.000,89
1997,2,3,3,€ 880.000,159
1998,1,2,S,€ 265.000,70
1999,2,4,5,€ 810.000,120
2000,1,3,3,€ 275.000,87
2001,3+,5+,A,€ 1.250.000,270
2002,1,2,1,€ 149.000,61
2003,2,3,R,€ 345.000,86
2004,2,3,T,€ 165.000,70
2005,1,2,4,€ 299.000,70
2006,1,3,5,€ 430.000,90
2007,2,3,2,€ 240.000,93
2008,1,3,4,€ 226.000,85
2009,2,4,3,€ 399.000,124
2010,1,3,4,€ 540.000,100
2011,3+,5+,A,€ 1.590.000,461
2012,2,5,4,€ 519.000,135
2013,1,3,T,€ 149.000,70
2014,2,5,T,€ 429.000,130
2015,1,2,6,€ 245.000,66
2016,3,5+,,€ 570.000,278
2017,3+,5+,,€ 549.000,400
2018,3,4,R,€ 480.000,101
2019,1,2,T,€ 65.000,38
2020,1,2,4,€ 260.000,60
2021,1,3,1,€ 289.000,90
2022,2,4,T,€ 285.000,100
2023,3,4,,€ 320.000,130
2024,3,4,2,€ 579.000,184
2025,2,5,1,€ 430.000,145
2026,1,3,1,€ 369.000,78
2027,2,5,3,€ 890.000,140
2028,1,3,1,€ 219.000,90
2029,1,2,4,€ 250.000,71
2030,1,3,1,€ 395.000,100
2031,1,2,3,€ 120.000,50
2032,3,5+,,€ 630.000,234
2033,2,3,A,€ 319.000,123
2034,1,2,1,€ 130.000,45
2035,3,5+,2,€ 1.300.000,246
2036,1,4,5,€ 439.000,110
2037,1,4,3,€ 538.000,120
2038,2,5,2,€ 790.000,195
2039,1,1,S,€ 160.000,45
2040,1,4,2,€ 598.000,112
2041,1,3,T,€ 190.000,78
2042,2,3,1,€ 275.000,98
2043,1,3,A,€ 419.000,87
2044,1,2,1,€ 139.000,55
2045,1,2,2,€ 89.000,45
2046,1,3,1,€ 159.000,70
2047,1,2,1,€ 139.000,60
2048,3+,5+,,€ 450.000,243
2049,1,3,5,€ 405.000,94
2050,2,5,1,€ 415.000,130
2051,1,3,T,€ 495.000,107
2052,1,2,5,€ 290.000,75
2053,1,3,5,€ 395.000,75
2054,2,4,3,€ 450.000,117
2055,3,5+,2,€ 690.000,210
2056,1,3,2,€ 299.000,90
2057,1,3,3,€ 155.000,90
2058,2,5,R,€ 225.000,160
2059,1,4,S,€ 220.000,100
2060,3,5+,,€ 509.000,320
2061,2,5,4,€ 535.000,160
2062,1,2,1,€ 165.000,45
2063,1,2,2,€ 229.000,65
2064,2,5,5,€ 1.000.000,220
2065,1,2,6,€ 175.000,65
2066,3,5+,1,€ 1.150.000,230
2067,2,3,1,€ 315.000,96
2068,1,2,6,€ 99.000,45
2069,2,3,A,€ 168.000,90
2070,2,5+,4,€ 530.000,120
2071,2,4,,€ 900.000,140
2072,1,4,4,€ 559.000,158
2073,2,3,6,€ 360.000,90
2074,2,4,A,€ 620.000,155
2075,1,3,T,€ 190.000,68
2076,2,4,2,€ 730.000,170
2077,1,3,T,€ 300.000,92
2078,2,4,3,€ 459.000,145
2079,2,3,T,€ 165.000,68
2080,1,3,,€ 349.000,97
2081,1,3,1,€ 309.000,85
2082,1,3,4,€ 209.000,84
2083,1,4,5,€ 268.000,110
2084,2,4,2,€ 179.000,120
2085,2,3,6,€ 460.000,91
2086,2,3,1,€ 435.000,101
2087,3,5+,4,€ 600.000,195
2088,2,3,6,€ 248.000,90
2089,1,3,R,€ 160.000,65
2090,1,3,3,€ 340.000,76
2091,1,2,3,€ 159.000,55
2092,2,3,1,€ 199.000,90
2093,3,5,2,€ 459.000,170
2094,3,5,A,€ 675.000,217
2095,2,3,4,€ 479.000,116
2096,1,2,4,€ 165.000,50
2097,2,3,3,€ 485.000,100
2098,2,5+,2,€ 660.000,173
2099,3,5,3,€ 880.000,230
2100,2,5+,3,€ 549.000,175
2101,1,3,3,€ 249.000,77
2102,3,4,,€ 345.000,140
2103,1,3,2,€ 219.000,77
2104,1,3,2,€ 189.000,90
2105,2,3,A,€ 299.000,74
2106,1,2,T,€ 189.000,68
2107,2,4,A,€ 495.000,98
2108,2,5,2,€ 419.000,130
2109,1,3,5,€ 339.000,82
2110,1,2,6,€ 310.000,65
2111,2,3,1,€ 259.000,100
2112,3,5+,1,€ 1.230.000,260
2113,1,3,2,€ 450.000,100
2114,1,3,1,€ 147.000,60
2115,3,5,2,€ 780.000,205
2116,2,3,T,€ 320.000,76
2117,1,2,2,€ 179.000,68
2118,2,5+,2,€ 449.000,160
2119,1,3,1,€ 149.000,55
2120,3+,5+,,€ 890.000,275
2121,1,3,3,€ 470.000,71
2122,3,5+,R,€ 470.000,155
2123,1,2,6,€ 310.000,65
2124,1,3,1,€ 175.000,90
2125,2,3,7,€ 315.000,80
2126,1,3,1,€ 218.000,78
2127,2,5,2,€ 390.000,135
2128,1,2,5,€ 235.000,70
2129,3,5,2,€ 599.000,160
2130,2,5+,,€ 169.000,130
2131,1,2,6,€ 175.000,60
2132,2,4,2,€ 395.000,120
2133,2,4,1,€ 849.000,160
2134,2,4,4,€ 650.000,125
2135,1,3,7,€ 335.000,80
2136,2,4,6,€ 195.000,100
2137,1,3,2,€ 195.000,75
2138,1,2,A,€ 175.000,52
2139,1,2,T,€ 89.000,51
2140,1,3,9,€ 395.000,97
2141,1,2,6,€ 420.000,70
2142,1,2,2,€ 210.000,62
2143,3,5+,2,€ 899.000,243
2144,2,4,2,€ 199.000,100
2145,2,3,2,€ 530.000,90
2146,3+,5+,,€ 1.950.000,900
2147,1,3,1,€ 355.000,103
2148,1,2,7,€ 360.000,66
2149,3+,5+,T,€ 1.390.000,300
2150,2,3,1,€ 329.000,95
2151,1,3,3,€ 198.000,80
2152,3,4,3,€ 1.190.000,140
2153,2,4,,€ 249.000,160
2154,3+,5+,A,€ 1.480.000,250
2155,3,5+,3,€ 565.000,183
2156,1,2,5,€ 250.000,57
2157,1,3,1,€ 265.000,80
2158,2,5,3,€ 645.000,145
2159,2,3,3,€ 590.000,115
2160,3,4,5,€ 585.000,140
2161,2,4,1,€ 315.000,110
2162,2,4,3,€ 320.000,130
2163,1,2,2,€ 289.000,73
2164,2,4,1,€ 399.000,135
2165,3,5+,,€ 900.000,255
2166,3+,5+,,€ 595.000,250
2167,2,3,A,€ 269.000,129
2168,2,4,,€ 255.000,140
2169,3+,5+,,€ 830.000,500
2170,1,4,1,€ 140.000,120
2171,2,5,4,€ 740.000,164
2172,1,3,3,€ 640.000,89
2173,1,2,3,€ 250.000,55
2174,2,4,2,€ 330.000,117
2175,1,4,R,€ 520.000,130
2176,3,5+,1,€ 1.550.000,186
2177,1,3,2,€ 210.000,70
2178,2,3,2,€ 450.000,100
2179,2,5,T,€ 575.000,138
2180,2,4,1,€ 450.000,115
2181,2,3,T,€ 398.000,125
2182,2,4,3,€ 410.000,135
2183,2,5,1,€ 279.000,123
2184,1,2,3,€ 105.000,45
2185,3+,5+,,€ 480.000,233
2186,2,5+,A,€ 530.000,192
2187,1,3,1,€ 175.000,98
2188,3,4,,€ 285.000,140
2189,1,3,R,€ 229.000,97
2190,3,5,3,€ 745.000,140
2191,3,5+,1,€ 480.000,140
2192,2,5,2,€ 525.000,125
2193,2,5,3,€ 195.000,148
2194,1,3,1,€ 219.000,90
2195,1,2,3,€ 209.000,90
2196,1,3,3,€ 220.000,70
2197,1,3,2,€ 155.000,78
2198,1,3,1,€ 240.000,74
2199,1,2,1,€ 260.000,60
2200,1,3,1,€ 265.000,120
2201,3+,5+,,€ 2.000.000,420
2202,2,4,1,€ 399.000,135
2203,2,2,A,€ 350.000,70
2204,1,2,1,€ 239.000,72
2205,2,5,1,€ 540.000,159
2206,3,5+,6,€ 735.000,200
2207,2,3,6,€ 378.000,82
2208,3+,5+,1,€ 790.000,235
2209,2,5,2,€ 880.000,145
2210,2,5+,T,€ 680.000,190
2211,1,3,2,€ 189.000,86
2212,1,2,T,€ 139.000,63
2213,2,5,3,€ 549.000,141
2214,2,5,T,€ 339.000,150
2215,1,3,6,€ 288.000,65
2216,1,3,1,€ 215.000,75
2217,2,4,1,€ 378.000,110
2218,2,5+,R,€ 890.000,288
2219,1,3,T,€ 159.000,72
2220,2,4,1,€ 329.000,100
2221,,2,A,€ 260.000,80
2222,2,3,1,€ 199.000,101
2223,1,3,A,€ 138.000,70
2224,3+,4,T,€ 585.000,140
2225,2,3,4,€ 480.000,110
2226,2,3,3,€ 415.000,90
2227,1,2,A,€ 369.000,70
2228,2,3,1,€ 440.000,100
2229,3,5+,2,€ 720.000,221
2230,1,5,5,€ 1.190.000,140
2231,1,2,1,€ 210.000,70
2232,1,3,2,€ 235.000,88
2233,1,3,2,€ 275.000,85
2234,1,3,2,€ 165.000,70
2235,3,5,,€ 320.000,130
2236,2,4,A,€ 260.000,120
2237,1,2,S,€ 175.000,60
2238,3+,5+,,€ 450.000,180
2239,2,3,T,€ 180.000,80
2240,1,2,3,€ 88.000,41
2241,1,3,1,€ 205.000,85
2242,1,3,T,€ 360.000,80
2243,1,3,T,€ 219.000,38
2244,1,3,2,€ 375.000,80
2245,1,4,4,€ 180.000,75
2246,1,2,1,€ 163.000,61
2247,2,4,T,€ 369.000,105
2248,2,4,4,€ 469.000,135
2249,1,3,1,€ 267.000,70
2250,1,2,T,€ 129.000,49
2251,,,,€ 57.000,79
2252,2,3,2,€ 347.000,92
2253,2,3,1,€ 215.000,85
2254,3,5+,3,€ 435.000,198
2255,2,3,5,€ 399.000,130
2256,2,3,4,€ 399.000,98
2257,2,5,,€ 438.000,119
2258,2,5,2,€ 530.000,140
2259,2,3,2,€ 270.000,120
2260,1,4,2,€ 299.000,125
2261,1,3,A,€ 259.000,90
2262,1,3,2,€ 129.000,70
2263,2,3,2,€ 332.000,82
2264,3+,5+,T,€ 1.600.000,350
2265,1,3,4,€ 258.000,85
2266,1,2,2,€ 259.000,60
2267,1,2,2,€ 235.000,45
2268,2,3,2,€ 530.000,121
2269,1,3,1,€ 225.000,65
2270,3,5+,6,,287
2271,1,3,2,€ 289.000,100
2272,2,4,5,€ 590.000,118
2273,1,3,T,€ 137.000,80
2274,1,3,R,€ 299.000,90
2275,,,,€ 74.112,134
2276,,,,€ 102.255,79
2277,1,3,3,€ 419.000,100
2278,1,3,A,€ 128.000,70
2279,1,5+,1,€ 1.400.000,250
2280,2,3,1,€ 450.000,130
2281,1,3,2,€ 340.000,90
2282,3,3,5,€ 599.000,110
2283,2,4,A,€ 245.000,103
2284,,,,€ 158.220,82
2285,3+,5+,4,€ 1.700.000,233
2286,2,3,3,€ 390.000,110
2287,1,1,3,€ 90.000,41
2288,1,2,T,€ 179.000,46
2289,2,3,2,€ 430.000,101
2290,2,3,5,€ 375.000,107
2291,1,3,T,€ 295.000,115
2292,1,3,2,€ 215.000,100
2293,1,2,1,€ 175.000,60
2294,1,3,5,€ 370.000,84
2295,2,4,1,€ 409.000,145
2296,2,5,,€ 329.000,170
2297,1,2,2,€ 239.000,45
2298,,5+,,€ 2.200.000,520
2299,2,3,7,€ 460.000,95
2300,2,4,4,€ 550.000,120
2301,2,3,2,€ 228.000,79
2302,2,4,A,€ 499.000,146
2303,2,3,1,€ 449.000,90
2304,1,2,3,€ 280.000,50
2305,1,2,1,€ 189.000,56
2306,1,3,2,€ 249.000,70
2307,2,5+,R,€ 680.000,164
2308,1,4,4,€ 240.000,88
2309,2,3,2,€ 279.000,100
2310,2,3,2,€ 279.000,81
2311,2,2,R,€ 475.000,79
2312,1,3,5,€ 270.000,90
2313,3,5+,4,€ 970.000,180
2314,3,5+,4,€ 1.300.000,290
2315,3,5+,4,€ 1.240.000,260
2316,1,2,4,€ 350.000,40
2317,1,3,R,€ 215.000,82
2318,1,2,A,€ 200.000,65
2319,1,2,,€ 462.000,68
2320,2,3,,€ 511.000,73
2321,1,1,,€ 133.000,43
2322,2,3,,€ 266.000,86
2323,2,4,2,€ 275.000,130
2324,2,4,3,€ 695.000,120
2325,1,3,2,€ 450.000,102
2326,3,5+,,€ 599.000,150
2327,,,,€ 420.000,109
2328,2,3,A,€ 365.000,80
2329,2,4,S,€ 390.000,150
2330,1,2,6,€ 235.000,70
2331,2,4,3,€ 439.000,100
2332,1,2,T,€ 225.000,75
2333,3,5+,2,€ 1.350.000,280
2334,2,4,A,€ 320.000,118
2335,,,,€ 135.000,51
2336,,,,€ 294.066,146
2337,1,3,T,€ 550.000,110
2338,3+,5+,2,€ 1.900.000,220
2339,2,5+,2,€ 560.000,150
2340,2,5,1,€ 550.000,150
2341,2,3,T,€ 360.000,85
2342,,,,€ 230.250,93
2343,,,,€ 165.000,64
2344,1,5,1,€ 350.000,107
2345,1,2,A,€ 199.000,60
2346,2,5,4,€ 450.000,135
2347,1,3,3,€ 680.000,115
2348,1,3,2,€ 360.000,80
2349,2,4,T,€ 575.000,125
2350,2,3,,€ 399.000,152
2351,,,,€ 1.200.000,252
2352,1,2,7,€ 175.000,50
2353,1,2,4,€ 149.000,70
2354,1,2,3,€ 250.000,80
2355,1,3,8,€ 215.000,85
2356,2,3,T,€ 395.000,89
2357,2,4,8,,120
2358,2,3,2,€ 379.000,91
2359,2,4,1,€ 440.000,145
2360,1,3,5,€ 400.000,100
2361,2,5,6,€ 339.000,120
2362,2,5,T,€ 710.000,185
2363,3,5,,€ 420.000,300
2364,2,5,4,€ 675.000,150
2365,2,5+,2,€ 500.000,145
2366,,,,€ 1.200.000,275
2367,1,2,1,€ 139.000,55
2368,,,,€ 107.400,91
2369,,,,€ 103.500,120
2370,2,5,R,€ 370.000,160
2371,3+,5+,A,€ 1.100.000,270
2372,1,2,4,€ 235.000,70
2373,3,5+,,€ 450.000,265
2374,1,3,4,€ 440.000,101
2375,2,5,R,€ 295.000,120
2376,2,5+,1,€ 420.000,145
2377,3+,4,,€ 455.000,210
2378,1,3,T,€ 199.000,100
2379,3+,5+,,€ 1.480.000,551
2380,2,3,T,€ 580.000,120
2381,2,4,5,€ 1.280.000,140
2382,1,2,4,€ 170.000,55
2383,1,2,T,€ 280.000,45
2384,,2-3,,€ 155.000,62
2385,2,4,3,€ 480.000,124
2386,,4,,€ 229.000,113
2387,1,2,1,€ 450.000,50
2388,3,5,3,€ 445.000,130
2389,3,4,,€ 397.000,197
2390,2,5+,R,€ 440.000,175
2391,2,5+,3,€ 1.350.000,230
2392,1,2,2,€ 125.000,60
2393,1,2,6,€ 259.000,70
2394,1,2,3,€ 219.000,60
2395,1,3,1,€ 330.000,100
2396,2,3,A,€ 245.000,98
2397,3,5+,R,€ 465.000,170
2398,2,3,,€ 199.000,87
2399,1,1,T,€ 65.000,27
2400,2,4,5,€ 299.000,120
2401,2,4,1,€ 300.000,120
2402,2,5,2,€ 950.000,175
2403,1,2,A,€ 199.000,75
2404,2,4,4,€ 329.000,115
2405,3,5+,,€ 780.000,301
2406,1,3,A,€ 125.000,106
2407,3+,4,A,€ 980.000,150
2408,2,5,1,€ 390.000,142
2409,2,4,A,€ 580.000,149
2410,1,2,T,€ 199.000,50
2411,2,4,2,€ 370.000,105
2412,2,4,3,€ 570.000,140
2413,1,2,3,€ 168.000,65
2414,1,3,2,€ 349.000,87
2415,3+,5+,,€ 369.000,260
2416,1,2,1,€ 245.000,50
2417,1,3,A,€ 285.000,78
2418,2,4,3,€ 650.000,150
2419,1,3,3,€ 380.000,70
2420,1,2,2,€ 590.000,50
2421,2,5,2,€ 675.000,120
2422,1,2,A,€ 179.000,60
2423,3+,5+,,€ 749.000,370
2424,1,4,R,€ 229.000,100
2425,1,3,3,€ 225.000,55
2426,2,3,3,€ 275.000,108
2427,1,4,1,€ 445.000,125
2428,2,5,A,€ 525.000,140
2429,2,3,2,€ 279.000,80
2430,1,2,T,€ 235.000,65
2431,2,2,1,€ 225.000,89
2432,1,2,T,€ 209.000,55
2433,3,5,,€ 368.000,185
2434,3,5,2,€ 430.000,145
2435,1,3,1,€ 340.000,103
2436,2,5+,1,€ 470.000,155
2437,3,5,,€ 380.000,220
2438,2,5,4,€ 449.000,110
2439,1,3,1,€ 199.000,79
2440,1,3,6,€ 239.000,90
2441,,2-3,,€ 224.000,45
2442,2,4,,€ 299.000,170
2443,2,5,,€ 325.000,190
2444,1,3,1,€ 359.000,110
2445,1,3,,€ 199.000,
2446,2,5,3,€ 299.000,135
2447,1,5+,,€ 239.000,140
2448,2,4,T,€ 645.000,154
2449,2,4,A,€ 485.000,110
2450,1,3,1,€ 179.000,60
2451,1,2,3,€ 269.000,70
2452,,,,€ 402.750,157
2453,2,4,1,€ 595.000,125
2454,1,2,2,€ 129.000,40
2455,1,3,1,€ 299.000,100
2456,3+,5+,,€ 590.000,400
2457,3,5+,3,€ 695.000,231
2458,2,3,,€ 188.000,62
2459,2,4,3,€ 379.000,120
2460,2,4,,€ 410.000,108
2461,1,2,6,€ 195.000,70
2462,3,5,,€ 199.000,180
2463,1,2,T,€ 175.000,50
2464,1,2,1,€ 264.000,70
2465,1,2,5,€ 183.000,45
2466,1,4,4,€ 246.375,109
2467,3,5,4,€ 1.250.000,170
2468,3,5+,,€ 3.200.000,280
2469,,,,€ 288.750,103
2470,1,3,A,€ 398.000,95
2471,1,3,8,€ 289.000,110
2472,2,3,5,€ 229.000,101
2473,2,3,5,€ 279.000,124
2474,3+,5+,3,€ 2.500.000,370
2475,1,2,1,€ 235.000,62
2476,1,3,T,€ 169.000,75
2477,1,3,5,€ 329.000,90
2478,3,4,2,€ 2.300.000,210
2479,2,5,3,€ 1.100.000,150
2480,2,4,3,€ 470.000,130
2481,1,3,4,€ 199.000,79
2482,2,3,A,€ 569.000,115
2483,1,3,3,€ 250.000,90
2484,2,5+,2,€ 550.000,178
2485,2,5,2,€ 457.000,140
2486,2,4,T,€ 199.000,95
2487,3,5,2,€ 750.000,136
2488,,2-4,,€ 529.000,59
2489,2,4,3,€ 275.000,128
2490,2,4,2,€ 348.000,130
2491,3+,5+,4,€ 940.000,270
2492,2,3,T,€ 230.000,82
2493,1,3,2,€ 229.000,90
2494,2,3,1,€ 435.000,84
2495,2,5,4,€ 335.000,177
2496,1,2,T,€ 229.000,50
2497,2,4,4,€ 358.000,120
2498,3,5+,4,€ 820.000,185
2499,3,3,,€ 330.000,140
2500,2,5,2,€ 599.000,147
2501,2,5+,T,€ 530.000,143
2502,1,3,T,€ 239.000,93
2503,2,4,1,€ 625.000,141
2504,1,2,5,€ 310.000,70
2505,1,2,T,€ 265.000,60
2506,1,2,1,€ 305.200,77
2507,2,3,T,€ 495.000,150
2508,3+,5+,,€ 1.150.000,480
2509,1,2,1,€ 129.000,64
2510,2,5+,5,€ 980.000,180
2511,1,3,3,€ 298.000,95
2512,3,5+,A,€ 740.000,212
2513,2,5,6,€ 495.000,150
2514,1,3,T,€ 261.000,65
2515,2,5+,A,€ 289.000,180
2516,1,2,7,€ 398.000,61
2517,2,3,,€ 182.000,88
2518,1,2,A,€ 280.000,60
2519,2,3,5,€ 610.000,110
2520,1,2,1,€ 179.000,48
2521,3,5+,2,€ 950.000,210
2522,1,4,4,€ 1.020.000,101
2523,1,3,1,€ 169.000,70
2524,1,3,T,€ 249.000,95
2525,2,4,A,€ 550.000,110
2526,1,5,2,€ 370.000,87
2527,1,3,1,€ 219.000,109
2528,1,3,T,€ 490.000,95
2529,2,5,2,€ 1.280.000,160
2530,2,4,3,€ 480.000,130
2531,3+,5+,,€ 980.000,500
2532,1,3,2,€ 265.000,95
2533,2,3,A,€ 155.000,90
2534,2,5+,4,€ 750.000,200
2535,1,2,T,€ 210.000,64
2536,1,3,T,€ 159.000,78
2537,1,4,1,€ 760.000,153
2538,2,5+,3,€ 539.000,176
2539,2,4,2,€ 459.000,160
2540,,1-4,,€ 133.000,43
2541,2,5,4,€ 500.000,125
2542,2,2,2,€ 420.000,95
2543,3+,5+,4,€ 3.850.000,400
2544,1,3,3,€ 219.000,84
2545,1,2,1,€ 129.000,67
2546,2,5,2,€ 770.000,170
2547,2,3,T,€ 299.500,82
2548,3,5,,€ 180.000,130
2549,1,2,T,€ 190.000,60
2550,1,3,1,€ 169.000,103
2551,1,3,2,€ 139.000,60
2552,2,5,3,€ 520.000,148
2553,2,2,T,€ 119.000,60
2554,2,4,2,€ 665.000,135
2555,1,2,1,€ 159.000,66
2556,3,5,T,€ 415.000,135
2557,3,5,,€ 429.000,220
2558,1,3,T,€ 389.000,97
2559,1,2,2,€ 249.000,50
2560,1,4,2,€ 570.000,104
2561,3,5+,T,€ 643.000,165
2562,3+,5+,1,€ 1.180.000,306
2563,2,5,3,€ 630.000,141
2564,1,2,3,€ 129.000,70
2565,3,5+,3,€ 680.000,220
2566,1,3,T,€ 295.000,60
2567,2,5+,,€ 820.000,180
2568,2,4,1,€ 890.000,115
2569,3+,5+,A,€ 2.090.000,300
2570,2,4,6,€ 489.000,110
2571,1,3,1,€ 279.000,110
2572,1,4,A,€ 289.000,120
2573,2,3,A,€ 620.000,120
2574,1,3,A,€ 369.000,80
2575,1,3,1,€ 129.000,75
2576,1,2,2,€ 84.000,68
2577,2,4,4,€ 660.000,130
2578,1,3,A,€ 450.000,98
2579,2,5+,2,€ 890.000,155
2580,3,5,,€ 3.700.000,250
2581,3,5+,A,€ 1.490.000,290
2582,1,1,S,€ 175.000,40
2583,2,4,A,€ 590.000,110
2584,1,3,T,€ 219.000,80
2585,1,2,5,€ 350.000,65
2586,1,3,1,€ 349.000,85
2587,1,2,T,€ 107.000,35
2588,2,4,A,€ 395.000,100
2589,2,5+,1,€ 1.100.000,240
2590,2,4,T,€ 535.000,130
2591,2,4,2,€ 490.000,160
2592,3,5+,3,€ 1.000.000,252
2593,1,3,4,€ 180.000,73
2594,1,4,T,€ 298.000,100
